NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
6850	29317	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-03	NULL	RYAN	2025-02-27
6851	32457	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-03	NULL	RYAN	2025-02-27
6852	32495	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-03	NULL	RYAN	2025-02-27
6853	32306	ASPIRADOR DE PO E AGUA ACQUA POWER ELECTROLUX AQP20 18L 127V	855	1441	350	133838	EM USO	2025-01-03	NULL	LUIZ	2025-08-20
6854	31350	ESCADA DE ALUMINIO 6 DEGRAUS	379	1041	51	133838	EM USO	2025-01-07	NULL	RYAN	2025-01-29
6855	35858	ESCADA DE ALUMINIO 6 DEGRAUS	648	111	51	133838	EM USO	2025-01-08	NULL	BEA.SC	2025-09-15
6856	31405	ESCADA DE ALUMINIO 7 DEGRAUS	379	1041	52	133838	EM USO	2025-01-16	NULL	RYAN	2025-02-05
6857	31467	ESCADA DOMESTICA EM ALUMINIO 4 DEGRAUS	494	1424	1070	133838	EM USO	2025-01-22	NULL	RYAN	2025-02-04
6858	29381	SWITCH GIGABIT TP-LINK 8 PORTAS LS1008G	197	1895	1071	133838	EM USO	2025-01-28	NULL	RYAN	2025-04-23
6859	31402	EXTRATORA DE ESTOFADO E CARPETE HOME CLEANER 1600W WAP COR AMARELO	379	1041	855	133838	EM USO	2025-01-28	NULL	RYAN	2025-01-30
6860	29400	SUPORTE 2 GAVETAS PARA MONITOR	197	1895	415	133838	EM USO	2025-01-21	NULL	RYAN	2025-07-10
6861	32426	ROÇADEIRA LATERAL A GASOLINA VULCAN VR520H 52CC 2,5HP 2T VR6	648	111	981	133838	EM USO	2025-01-28	NULL	RYAN	2025-07-01
6862	32489	ROÇADEIRA A GASOLINA VULCAN TRENT VR520H	610	135	1044	133838	EM USO	2025-01-28	NULL	BEA.SC	2025-08-25
6863	31449	ESCADA DE ALUMINIO 5 DEGRAUS	379	1041	50	133838	EM USO	2025-01-27	NULL	RYAN	2025-03-31
6864	29375	MONITOR HAYOM LED WIDESCREEN HD 19,5 HDMI E VGA 60HZ	197	1895	1072	133838	EM USO	2025-01-21	NULL	RYAN	2025-07-10
6865	32261	ESTANTE DE AÇO INDUSTRIAL 6 PRATELEIRAS 90X198	999914	1922	1079	133838	EM USO	2025-01-29	NULL	BEA.SC	2025-11-24
6866	32262	ESTANTE DE AÇO INDUSTRIAL 6 PRATELEIRAS 90X198	100001	109	1079	133838	EM USO	2025-01-29	NULL	RYAN	2025-02-04
6867	32263	ESTANTE DE AÇO INDUSTRIAL 6 PRATELEIRAS 90X198	100001	109	1079	133838	EM USO	2025-01-29	NULL	RYAN	2025-02-04
6868	32264	ESCADA 3 DEGRAUS	999914	1922	49	133838	EM USO	NULL	NULL	BEA.SC	2025-11-21
