NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
3930	30123	CADEIRA DE ESCRITORIO PRETA (GIRATORIA)	8	2034	389	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3931	8741	MONITOR DELL	8	2034	402	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3932	7555	NOTEBOOK LENOVO IDEAPAD 3 151TL6	8	2034	302	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3934	14099	CAFETEIRA MARCHSONI	8	530	457	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
3935	14098	GELADEIRA CONSUL	8	530	458	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3936	14097	TELEFONE FIXO INTELBRAS TIP 120I	8	530	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3937	396	MESA DE MADEIRA CINZA 6 LUGARES	8	530	459	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3938	395	MESA DE MADEIRA CINZA 6 LUGARES	8	530	459	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3941	394	MESA DE MADEIRA CINZA 6 LUGARES	8	530	459	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3942	393	MESA DE MADEIRA CINZA 6 LUGARES	8	530	459	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3943	392	MESA DE MADEIRA CINZA 4 LUGARES	8	530	461	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3944	391	MESA DE MADEIRA CINZA 4 LUGARES	8	530	461	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3945	6898	MICROONDAS CONSUL	8	530	462	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
3946	30209	SMARTPHONE SAMSUNG A02S	8	530	327	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3947	19508	MICROONDAS BRASTEMP	8	530	NULL	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3948	14096	MICROONDAS PHILCO	8	530	464	133838	EM USO	NULL	NULL	BEA.SC	2025-10-21
3949	30141	SMARTPHONE LG K22	8	2034	328	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3950	7539	NOTEBOOK LENOVO IDEAPAD 3 151TL6	8	2034	302	80441	EM USO	NULL	NULL	BEA.SC	2025-10-16
3951	30127	MONITOR SAMSUNG	8	2034	421	80441	EM USO	NULL	NULL	BEA.SC	2025-10-16
3952	30128	CPU	8	2034	151	80441	EM USO	NULL	NULL	BEA.SC	2025-10-16
3953	30129	TELEFONE FIXO INTELBRAS TIP 120I	8	2034	417	80441	EM USO	NULL	NULL	BEA.SC	2025-10-16
3954	30131	ARMARIO 2 PORTAS	8	2034	315	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3955	4046	ARMARIO 2 PORTAS	8	2034	315	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3956	4068	ARMARIO 2 PORTAS	8	2034	315	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3957	30133	MESA DE ESCRITORIO INDIVIDUAL 2 GAVETAS	8	2034	403	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3958	30134	MESA DE ESCRITORIO 3 GAVETAS	8	2034	455	80441	EM USO	NULL	NULL	BEA.SC	2025-10-16
3959	16385	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	2034	390	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3960	30136	MONITOR SAMSUNG	8	2034	421	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3961	16253	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	530	390	133838	EM USO	NULL	NULL	BEA.SC	2025-11-13
3962	30138	MESA DE ESCRITORIO INDIVIDUAL 2 GAVETAS	8	2034	403	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3963	30139	TELEFONE FIXO INTELBRAS TIP 120I	8	2034	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3964	30140	GAVETEIRO 3 GAVETAS COM CHAVE	8	2034	252	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
4326	30216	CPU	8	530	151	133838	EM USO	2024-06-28	NULL	BEA.SC	2025-10-24
4327	30217	CPU	8	530	151	133838	EM USO	2024-06-28	NULL	BEA.SC	2025-10-24
4328	30059	CPU	8	2031	151	134616	EM USO	2024-06-18	NULL	BEA.SC	2025-11-28
4689	14123	CADEIRA DE ESCRITORIO PRETA GIRATORIA SEM BRAÇOS	8	530	496	133838	EM USO	NULL	NULL	BEA.SC	2025-10-23
4690	14135	AR CONDICIONADO CONSUL	8	530	502	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
4691	14136	AR CONDICIONADO CONSUL	8	530	502	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
