NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
284	EM USO		2058			11/12/2011	CASA UNIFORMES	133838	8	BEA.SC	01/12/2025	44136	321	S
285	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
286	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
287	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
288	EM USO		1			11/12/2011		133838	100001	BEA.SC	03/12/2025	44136	245	N
289	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
290	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
291	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
292	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
293	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
294	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
295	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
296	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
297	EM USO		1			11/12/2011		133838	100001	BEA.SC	03/12/2025	44136	389	N
