CDLOCAL	DELOCAL	CODIGO_PROJETO	FLATIVO
476	UBERLANDIA - GAECO	648	0
477	UNAI	648	0
478	VARGINHA - NOVA SEDE	648	0
479	VARGINHA - GAECO	648	0
480	VARGINHA (CRESCA) SUSPENSÃO	648	0
481	VARGINHA (SEDE)	648	0
482	VARZEA DA PALMA	648	0
483	VESPASIANO	648	0
484	VICOSA	648	0
485	VISCONDE DO RIO BRANCO	648	0
486	CIMUS	648	0
487	CONDOMÍNIO DO EDIFÍCIO PROCURADOR-GERAL DE JUSTIÇA JOSÉ DIOGO DE ALMEIDA MAGALHÃES	648	0
488	PROMOTORIA ESTADUAL DE DEFESA DO PATRIMÔNIO CULTURAL	648	0
489	DIMAT: ALMOXARIFADO CENTRAL DA PROCURADORIA-GERAL DE JUSTIÇA	648	0
490	DIRETORIA DE GESTÃO DOCUMENTAL	648	0
491	08ª PJ JUIZADO ESPECIAL CÍVEL E CRIMINAL - SECRETÁRIA	648	0
492	10º PJ JUIZO DE EXECUÇÃO PENAL	648	0
493	11° PROMOTORIA COMBATE CRIME ORGANIZADO	648	0
494	12º PJ CRIMINAL  -  11° ANDAR	648	0
495	12º PJ JUÍZO DE FAMÍLIA - SECRETARIA (FÓRUM LAFAYETTE)	648	0
496	18ª PJ DEFESA DOS DIREITOS HUMANOS - SECRETARIA	648	0
497	18ª PJ DEFESA DOS DIREITOS HUMANOS, IGUALDADE RACIAL, APOIO COMUNITÁRIO E FISCALIZAÇÃO DA ATIVIDADE POLICIAL - COMBATE À VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER - SECRETARIA	648	0
498	19º PJ DEFESA DA SAÚDE RECEPÇÃO	648	0
499	23ª PJ CRIANÇAS E ADOLESCENTES - CÍVEL - RECEPÇÃO	648	0
500	2º PJ JUIZO DE FAMILIA	648	0
501	5º ANDAR AMMP - PJ OUVIDORIA	648	0
502	NOVA CIA	648	0
503	UCC	648	0
504	TRES TORRES	648	0
505	TORRE QUATRO	648	0
506	ALMG- PALÁCIO DA INCONFIDÊNCIA- PALÁCIO DA INCONFIDENCIA	664	0
507	ABC	736	0
508	AG EMPRESARIAL	736	0
509	AGD BELO HORIZONTE LESTE - PRÉDIO HORTO	736	0
510	AGD BELO HORIZONTE OESTE - PRÉDIO HORTO	736	0
511	ALEMG	736	0
512	ALÍPIO DE MELO	736	0
513	ALTEROSAS	736	0
514	ANA LUCIA	736	0
